name,game,release,version,filename,filesize,md5,sha1,crc32
Doom II,Doom II,PS3 Classic Complete,original,DOOM2.WAD,14599800,4c3db5f23b145fccd24c9b84aba3b7dd,ca8db908a7c9fbac764f34c148f0bcc78d18553e,451446E2
Doom II,Doom II,PS3/Xbox 360 BFG,BFG,DOOM2.WAD,14677988,f617591a6c5d07037eb716dc4863e26b,b7ba1c68631023ea1aab1d7b9f7f6e9afc508f39,1350E452
Final Doom: TNT Evilution,Final Doom,TNT Evilution,1.9,TNT.WAD,18195736,4e158d9953c79ccf97bd0663244cc6b6,9fbc66aedef7fe3bae0986cdb9323d2b8db4c9d3,903DCC27
Final Doom: TNT Evilution,Final Doom,TNT Evilution,id Anthology,TNT.WAD,18654796,1d39e405bf6ee3df69a8d2646c8d5c49,4a65c8b960225505187c36040b41a40b152f8f3e,D4BB05C0
Final Doom: TNT Evilution,Final Doom,TNT Evilution,PS3 Classic Complete,TNT.WAD,18222568,be626c12b7c9d94b1dfb9c327566b4ff,139e26d801a64b404b8d898defca10227a61867b,D5B82D26
Final Doom: TNT Evilution,Final Doom,TNT Evilution,Unity,TNT.WAD,18434452,a6685de59ddf2c07f45deeec95296d98,503271390606ebded04a2cfaa1a4e249c0313a9d,7A0117A3
Final Doom: TNT Evilution,Final Doom,TNT Evilution,KEX,tnt.wad,18507237,ad7885c17a6b9b79b09d7a7634dd7e2c,ab4e71e360a1e64e262d77a53e4bb202450d0f6e,6D7A8EEC
Final Doom: Plutonia,Final Doom,Final Doom,Plutonia,1.9,PLUTONIA.WAD,17420824,75c8cf89566741fa9d22447604053bd7,90361e2a538d2388506657252ae41aceeb1ba360,48D1453C
Final Doom: Plutonia,Final Doom,Final Doom,Plutonia,id Anthology,PLUTONIA.WAD,18240172,3493be7e1e2588bc9c8b31eab2587a04,f131cbe1946d7fddb3caec4aa258c83399c21e60,15CD1448
Final Doom: Plutonia,Final Doom,Final Doom,Plutonia,PS3 Classic Complete,PLUTONIA.WAD,17417800,b77ca6a809c4fae086162dad8e7a1335,327f8c41ebd4138354e9fca63cebbbd1b9489749,E5F2ABE3
Final Doom: Plutonia,Final Doom,Final Doom,Plutonia,Unity,PLUTONIA.WAD,17421754,0b381ff7bae93bde6496f9547463619d,54e27b5791fbc5677bf7e83c1de3a92ea3ef935b,7530BD6E
Final Doom: Plutonia,Final Doom,Final Doom,Plutonia,KEX,plutonia.wad,17704206,e47cf6d82a0ccedf8c1c16a284bb5937,fbcc140825b507ab88d844c6b1635c60c4b8bcd6,E82FBFD2
Doom II,Doom II,No Rest for the Living,BFG Edition,NERVE.WAD,3819855,967d5ae23daf45196212ae1b605da3b0,3451288383fb16e196f273d9f85d58c1fda97bf4,AD7F9292
